term1,term2,count
artichoke,cheese, 98
peppers,spinach, 98
bacon,lettuce, 98
rice,sauce, 98
egg,thai, 98
chicken,tender, 98
chicken,romaine, 98
cashew,chicken, 98
bean,rice, 98
chicken,tomatoes, 98
ham,peppers, 98
bacon,tomato, 98
rice,sliced, 98
black,peppers, 98
broccoli,sauce, 98
salad,salad, 96
chicken,snow, 96
balsamic,chicken, 96
breast,saut\\\\xc3\\\\xa9ed, 96
sauce,shrimp, 96
breast,tomato, 96
chicken,olive, 96
cheese,turkey, 96
chicken,garlic, 96
hot,onions, 96
chicken,dressing, 96
feta,peppers, 96
cheese,pepperoni, 96
lettuce,romaine, 94
breast,roasted, 94
chicken,salsa, 94
bacon,smoked, 94
chicken,mozzarella, 94
shrimp,vegetables, 94
hot,sauce, 94
fingers,fried, 94
bell,onion, 94
chicken,cobb, 94
cheese,salami, 94
chicken,cutlet, 94
peppers,sliced, 94
cheese,ricotta, 94
noodles,vegetables, 92
basil,pepper, 92
cheese,mozzarella, 92
beef,egg, 92
chicken,tuna, 92
garlic,red, 92
onion,rice, 92
bbq,peppers, 92
chicken,wontons, 92
cheese,mushrooms, 92
chicken,melted, 92
grilled,wrap, 92
bleu,cheese, 92
basil,rice, 92
garden,salad, 92
grilled,sandwich, 92
onions,sliced, 92
chicken,shrimp, 90
egg,noodles, 90
caramelized,chicken, 90
all-natural,tomatoes, 90
cheese,egg, 90
greek,salad, 90
chicken,red, 90
green,sauce, 90
chicken,dinner, 90
fresh,roasted, 90
chicken,spareribs, 90
breast,fresh, 90
feta,olives, 90
grilled,tomatoes, 90
pork,sliced, 90
chicken,chinese, 90
buffalo,blue, 90
beef,sauce, 88
onions,salad, 88
green,pepper, 88
chicken,chunks, 88
grilled,mozzarella, 88
chicken,roasted, 88
chicken,coconut, 88
chicken,delicious, 88
chicken,crisp, 88
chicken,spices, 88
chicken,curry, 88
black,olives, 88
cooked,spices, 88
thai,peanut, 88
cabbage,chicken, 88
classic,chicken, 88
chicken,leaves, 88
rice,soup, 88
peppers,sweet, 88
bread,chicken, 88
beef,sauce, 88
canadian,cheese, 88
dressing,salad, 88
chicken,pita, 88
bean,shrimp, 86
feta,tomatoes, 86
baked,chicken, 86
chicken,broccoli, 86
bean,sprouts, 86
sauce,special, 86
bacon,salad, 86
egg,sauce, 86
garlic,roasted, 86
chicken,filled, 86
red,tomato, 86
chicken,lowfat, 86
chicken,nuts, 86
chicken,swiss, 86
beef,grilled, 86
cheese,grilled, 86
eggplant,peppers, 86
chicken,summer, 84
blue,buffalo, 84
beans,rice, 84
chicken,yellow, 84
all-natural,dressing, 84
fried,onion, 84
chicken,sundried, 84
beans,black, 84
sauteed,sliced, 84
basil,beef, 84
cheese,pepper, 84
broth,soup, 84
avocado,fresh, 84
bbq,bbq, 84
basil,sauce, 84
grilled,pesto, 84
chicken,combination, 84
garlic,sliced, 84
cheese,linguica, 84
cheese,corn, 84
chicken,pesto, 84
chicken,tikka, 84
cooked,curry, 84
fresh,tomato, 84
dressing,lettuce, 84
basil,onion, 84
chicken,mushrooms, 82
salad,tuna, 82
bacon,green, 82
bacon,red, 82
red,spicy, 82
sauce,sauteed, 82
cream,sour, 82
salad,tossed, 82
chicken,stir, 82
chicken,cream, 82
chicken,extra, 82
green,onion, 82
garlic,onions, 82
beef,sliced, 82
fried,sauce, 82
all-natural,romaine, 82
black,tomatoes, 82
chicken,spinach, 82
chicken,water, 82
rice,vegetables, 82
chicken,parmesan, 82
chicken,kebab, 80
romaine,salad, 80
chicken,cubes, 80
roasted,sauce, 80
marinated,yogurt, 80
chicken,homemade, 80
breast,garlic, 80
chicken,mild, 80
chicken,cream, 80
grilled,lettuce, 80
bell,breast, 80
bean,egg, 80
basil,spicy, 80
dressing,romaine, 80
broccoli,green, 80
lettuce,sauce, 80
red,sauce, 80
bbq,onions, 80
chicken,fried, 80
chicken,potato, 80
chicken,peanuts, 80
dressing,grilled, 80
chicken,tomato, 80
chicken,pickle, 80
chicken,stuffed, 78
onions,rice, 78
basil,sauce, 78
basmati,chicken, 78
crispy,sauce, 78
chicken,marinara, 78
chicken,eggs, 78
green,hot, 78
carrots,onions, 78
cheddar,tomatoes, 78
chicken,light, 78
fried,roll, 78
grilled,shrimp, 78
cheese,onion, 78
chicken,mint, 78
noodles,vegetables, 78
sauce,stirfried, 78
chicken,southwestern, 78
noodles,shrimp, 78
chicken,pieces, 78
beef,vegetables, 78
asiago,chicken, 78
buffalo,sauce, 78
chicken,poppyseed, 78
fried,stir, 78
blue,salad, 76
mozzarella,roasted, 76
fresh,spinach, 76
grilled,mixed, 76
for,chicken, 76
chicken,fish, 76
egg,scallions, 76
chicken,bacon, 76
breast,salad, 76
mushrooms,sauce, 76
chicken,ribs, 76
rice,stirfried, 76
all-natural,avocado, 76
bbq,red, 76
grilled,salad, 76
s,chicken, 76
chicken,fries, 76
chicken,herbs, 76
juice,lime, 76
chestnuts,chicken, 76
chicken,saag, 76
chicken,rice, 76
grilled,onion, 76
cheese,toppings, 76
green,rice, 76
greens,tomatoes, 76
hot,red, 74
tomato,wrap, 74
chicken,pea, 74
grilled,pepper, 74
sauce,white, 74
green,roasted, 74
avocado,vinaigrette, 74
chicken,spiced, 74
shrimp,thai, 74
broccoli,sauce, 74
basil,green, 74
fried,noodles, 74
fried,hot, 74
chicken,mix, 74
cheese,pesto, 74
chicken,housemade, 74
garlic,ginger, 74
fried,peppers, 74
hot,olives, 74
chicken,slices, 74
chicken,chopped, 74
chicken,mozzarella, 74
basil,bell, 74
chili,peppers, 74
black,onions, 74
chicken,pollo, 74
marinated,spices, 74
honey,mustard, 74
applewood,chicken, 74
crispy,sauce, 72
cilantro,onions, 72
tandoori,tikka, 72
cheese,fried, 72
pepperoni,peppers, 72
basil,leaves, 72
onions,tomato, 72
greens,mixed, 72
cheese,romano, 72
salad,turkey, 72
fried,onions, 72
breast,tomatoes, 72
basil,fried, 72
peppers,tomato, 72
all-natural,antibioticfree, 72
add,grilled, 72
bacon,blue, 72
chicken,flatbread, 72
mixed,salad, 72
marinated,sauce, 72
grilled,sliced, 72
crispy,fried, 72
noodles,stirfried, 72
lowfat,vegetarian, 72
fresh,shrimp, 72
mesclun,tomatoes, 72
boneless,sauce, 72
egg,tomatoes, 72
cooked,fresh, 72
avocado,chicken, 72
cooked,spices, 72
noodle,thai, 70
broccoli,fried, 70
bacon,sauce, 70
chicken,all-natural, 70
avocado,smoked, 70
chicken,jerk, 70
grilled,teriyaki, 70
calzone,chicken, 70
olives,roasted, 70
bean,noodle, 70
peppers,salami, 70
soup,sour, 70
jalapeno,peppers, 70
carrot,rice, 70
peppers,wrap, 70
corn,peppers, 70
salad,shredded, 70
sauce,tomato, 70
bacon,egg, 70
chicken,mayo, 70
noodle,shrimp, 70
rice,thai, 70
basil,noodles, 70
cheese,sauce, 70
fried,teriyaki, 70
basil,tomatoes, 70
beef,cheese, 70
basil,fresh, 70
cheese,steak, 70
chicken,pepperoni, 70
,chicken, 70
olives,sausage, 70
pepper,roasted, 70
greek,chicken, 70
bean,thai, 70
artichoke,peppers, 70
rice,scallions, 70
marinated,sauce, 70
chicken,asiago, 68
blue,grilled, 68
cooked,rice, 68
garden,grilled, 68
beef,teriyaki, 68
chicken,combo, 68
chicken,peppers, 68
chicken,wheat, 68
mushrooms,tomatoes, 68
chicken,hummus, 68
carrots,peanut, 68
mixed,vegetables, 68
carrots,rice, 68
black,corn, 68
curry,shrimp, 68
sauce,white, 68
cheese,jack, 68
cheese,smoked, 68
basil,noodle, 68
cheese,sliced, 68
boneless,marinated, 68
broccoli,onions, 68
bbq,tomatoes, 68
chicken,pan, 68
feta,grilled, 68
onions,sauteed, 68
shrimp,soup, 68
croutons,romaine, 68
carrots,tomatoes, 68
all-natural,cheese, 68
chili,sauce, 68
grilled,cheese, 68
chicken,sauteed, 68
rice,steamed, 68
grilled,olives, 68
avocado,romaine, 68
chicken,pork, 68
pork,sauce, 68
breast,green, 68
garlic,sauteed, 68
basil,onions, 66
chicken,mein, 66
peppers,sundried, 66
spicy,sweet, 66
beef,vegetables, 66
bacon,sausage, 66
fresh,garlic, 66
rice,sprouts, 66
chicken,tangy, 66
cooked,herbs, 66
basmati,rice, 66
apple,chicken, 66
breast,mushrooms, 66
bbq,flatbread, 66
chicken,sauteed, 66
bbq,beef, 66
garlic,green, 66
mediterranean,flatbread, 66
flatbread,southwestern, 66
chicken,italian, 66
flatbread,thai, 66
dressing,peanut, 66
sauce,thai, 66
chicken,plate, 66
rice,tomatoes, 66
oil,olive, 66
onions,spicy, 66
egg,stirfried, 66
sauce,sauteed, 66
beef,tofu, 66
onions,white, 66
fresh,green, 64
noodles,sliced, 64
roasted,tomato, 64
crispy,tomatoes, 64
breast,onion, 64
almonds,chicken, 64
chicken,herbs, 64
fried,vegetables, 64
curry,sauce, 64
black,grilled, 64
cheddar,peppers, 64
grilled,pork, 64
chicken,kabob, 64
c,pork, 64
fried,pepper, 64
grilled,parmesan, 64
pepper,spicy, 64
bell,cheese, 64
sauce,vegetables, 64
peppers,steak, 64
chicken,seekh, 64
peppers,rice, 64
peanut,sauce, 64
chicken,touch, 64
chicken,onions, 64
egg,roll, 64
sauce,spinach, 64
chicken,squash, 64
fried,tomato, 64
chicken,jalapeno, 64
artichoke,chicken, 64
feta,red, 64
garlic,tomatoes, 64
feta,onions, 64
chicken,classic, 64
boneless,teriyaki, 64
peas,rice, 64
broccoli,rice, 64
cooked,tikka, 64
crispy,lettuce, 62
chicken,deep, 62
fried,red, 62
sliced,snow, 62
sauce,sour, 62
cilantro,noodle, 62
cooked,tomato, 62
cheese,spicy, 62
lettuce,onion, 62
ham,olives, 62
spinach,tomatoes, 62
pork,vegetables, 62
hot,sweet, 62
fingers,pork, 62
bean,sauce, 62
carrots,peppers, 62
chicken,alfredo, 62
fresh,sauce, 62
onions,sweet, 62
fried,sliced, 62
shrimp,special, 62
burger,cheese, 62
bbq,pulled, 62
chicken,kabab, 62
applewood,smoked, 62
peppers,pesto, 62
chicken,minced, 62
grilled,caesar, 62
chicken,half, 62
rice,tomato, 62
chicken,skewers, 62
hot,sauce, 62
sauce,teriyaki, 62
egg,vegetables, 62
chicken,pao, 62
buffalo,bleu, 62
basil,chili, 62
black,red, 62
pesto,sauce, 62
chicken,mashed, 62
applewood,avocado, 62
chicken,croutons, 62
breast,sweet, 62
rice,spicy, 62
smoked,tomatoes, 62
chicken,guacamole, 62
grilled,salad, 62
mozzarella,tomato, 62
cilantro,soup, 62
caesar,wrap, 60
crab,rangoon, 60
chicken,romano, 60
chicken,iceburg, 60
breast,pepper, 60
mozzarella,red, 60
dressing,tomatoes, 60
hot,pepper, 60
tomatoes,vinaigrette, 60
noodle,stirfried, 60
pesto,roasted, 60
beans,green, 60
boneless,breast, 60
fried,vegetables, 60
chicken,orange, 60
broccoli,sliced, 60
fresh,mushrooms, 60
pepper,sauce, 60
bamboo,chicken, 60
peppers,zucchini, 60
sauce,sliced, 60
anchovies,cheese, 60
hot,spicy, 60
chicken,tandoor, 60
cheddar,grilled, 60
all-natural,caesar, 60
green,sausage, 60
bacon,ranch, 60
bacon,dressing, 60
masala,tikka, 60
blue,sauce, 60
garlic,sauce, 60
avocado,grilled, 60
c,fried, 60
sauce,tender, 60
buffalo,cheese, 60
sauce,stirfried, 60
basil,stirfried, 60
chicken,pecans, 60
bacon,romaine, 60
onion,spicy, 60
chicken,soup, 60
all-natural,asiago, 60
garlic,spinach, 60
cucumbers,red, 60
all-natural,peanut, 60
alfredo,broccoli, 60
cheese,sauce, 60
chicken,wrap, 60
tomatoes,wrap, 60
lettuce,olives, 58
egg,tofu, 58
meat,sauce, 58
boneless,wings, 58
fresh,white, 58
fresh,pesto, 58
mushrooms,sauce, 58
brown,chicken, 58
cheese,croutons, 58
spicy,stirfried, 58
mushrooms,sauteed, 58
green,pineapple, 58
chicken,herb, 58
alfredo,sauce, 58
curry,onion, 58
bbq,sauce, 58
eggplant,green, 58
$,chicken, 58
chicken,fries, 58
lettuce,rice, 58
dressing,romaine, 58
chicken,vietnamese, 58
hot,tomato, 58
cucumbers,onions, 58
grilled,vinaigrette, 58
cheese,meat, 58
bacon,wrap, 58
grilled,tossed, 58
olives,spinach, 58
chicken,creamy, 58
lettuce,shredded, 58
extra,peppers, 58
chicken,roma, 58
cheese,greens, 58
boneless,spices, 58
beef,peppers, 58
chicken,meat, 58
pork,sauce, 58
breast,sauteed, 58
rice,sour, 58
